Date,C4Super,C4Medium,Bulog
2021-09-29,11750.0,10500.0,9283.0
2021-09-30,11750.0,10500.0,9283.0
2021-10-01,11750.0,10500.0,9350.0
2021-10-02,11750.0,10500.0,9327.666666666666
2021-10-03,11750.0,10500.0,9305.333333333334
2021-10-04,11750.0,10500.0,9283.0
2021-10-05,11750.0,10500.0,9283.0
2021-10-06,11750.0,10500.0,9283.0
2021-10-07,11750.0,10500.0,9283.0
2021-10-08,11750.0,10500.0,9283.0
2021-10-09,11750.0,10500.0,9283.0
2021-10-10,11750.0,10500.0,9283.0
2021-10-11,11750.0,10500.0,9283.0
2021-10-12,11750.0,10500.0,9283.0
2021-10-13,11750.0,10500.0,9283.0
2021-10-14,11750.0,10500.0,9283.0
2021-10-15,11750.0,10500.0,9283.0
2021-10-16,11750.0,10500.0,9283.0
2021-10-17,11750.0,10500.0,9283.0
2021-10-18,11750.0,10500.0,9283.0
2021-10-19,11750.0,10500.0,9283.0
2021-10-20,11750.0,10500.0,9283.0
2021-10-21,11750.0,10500.0,9283.0
2021-10-22,11750.0,10500.0,9283.0
2021-10-23,11750.0,10500.0,9283.0
2021-10-24,11750.0,10500.0,9283.0
2021-10-25,11750.0,10500.0,9283.0
2021-10-26,11750.0,10500.0,9283.0
2021-10-27,11750.0,10500.0,9283.0
2021-10-28,11750.0,10500.0,9283.0
2021-10-29,11750.0,10667.0,9283.0
2021-10-30,11708.333333333334,10528.0,9297.0
2021-10-31,11666.666666666666,10389.0,9311.0
2021-11-01,11625.0,10250.0,9325.0
2021-11-02,11625.0,10250.0,9325.0
2021-11-03,11625.0,10250.0,9325.0
2021-11-04,11625.0,10250.0,9325.0
2021-11-05,11625.0,10250.0,9325.0
2021-11-06,11666.666666666666,10333.333333333334,9311.0
2021-11-07,11708.333333333334,10416.666666666666,9297.0
2021-11-08,11750.0,10500.0,9283.0
2021-11-09,11750.0,10500.0,9283.0
2021-11-10,11750.0,10500.0,9283.0
2021-11-11,11750.0,10500.0,9283.0
2021-11-12,11750.0,10500.0,9283.0
2021-11-13,11708.333333333334,10416.666666666666,9297.0
2021-11-14,11666.666666666666,10333.333333333334,9311.0
2021-11-15,11625.0,10250.0,9325.0
2021-11-16,11625.0,10250.0,9325.0
2021-11-17,11625.0,10250.0,9425.0
2021-11-18,11625.0,10250.0,9425.0
2021-11-19,11625.0,10250.0,9425.0
2021-11-20,11666.666666666666,10333.333333333334,9355.666666666666
2021-11-21,11708.333333333334,10416.666666666666,9286.333333333334
2021-11-22,11750.0,10500.0,9217.0
2021-11-23,11750.0,10500.0,9217.0
2021-11-24,11750.0,10500.0,9217.0
2021-11-25,11750.0,10500.0,9217.0
2021-11-26,11750.0,10500.0,9217.0
2021-11-27,11750.0,10500.0,9217.0
2021-11-28,11750.0,10500.0,9217.0
2021-11-29,11750.0,10500.0,9217.0
2021-11-30,11583.0,10333.0,9383.0
2021-12-01,11583.0,10333.0,9383.0
2021-12-02,11583.0,10417.0,9383.0
2021-12-03,11583.0,10417.0,9383.0
2021-12-04,11638.666666666666,10444.666666666666,9383.0
2021-12-05,11694.333333333334,10472.333333333334,9383.0
2021-12-06,11750.0,10500.0,9383.0
2021-12-07,11667.0,10333.0,9383.0
2021-12-08,11667.0,10333.0,9383.0
2021-12-09,11667.0,10333.0,9383.0
2021-12-10,11667.0,10333.0,9383.0
2021-12-11,11694.666666666666,10388.666666666666,9383.0
2021-12-12,11722.333333333334,10444.333333333334,9383.0
2021-12-13,11750.0,10500.0,9383.0
2021-12-14,11750.0,10333.0,9383.0
2021-12-15,11667.0,10333.0,9383.0
2021-12-16,11667.0,10333.0,9383.0
2021-12-17,11667.0,10333.0,9383.0
2021-12-18,11694.666666666666,10388.666666666666,9383.0
2021-12-19,11722.333333333334,10444.333333333334,9383.0
2021-12-20,11750.0,10500.0,9383.0
2021-12-21,11750.0,10500.0,9383.0
2021-12-22,11750.0,10333.0,9383.0
2021-12-23,11750.0,10333.0,9383.0
2021-12-24,11750.0,10333.0,9383.0
2021-12-25,11750.0,10388.666666666666,9383.0
2021-12-26,11750.0,10444.333333333334,9383.0
2021-12-27,11750.0,10500.0,9383.0
2021-12-28,11750.0,10333.0,9383.0
2021-12-29,11833.0,10333.0,9383.0
2021-12-30,11833.0,10333.0,9383.0
2021-12-31,11750.0,10333.0,9383.0
2022-01-01,11750.0,10361.0,9383.0
2022-01-02,11750.0,10389.0,9383.0
2022-01-03,11750.0,10417.0,9383.0
2022-01-04,11750.0,10417.0,9383.0
2022-01-05,11750.0,10417.0,9383.0
2022-01-06,11750.0,10417.0,9383.0
2022-01-07,11750.0,10417.0,9383.0
2022-01-08,11750.0,10444.666666666666,9383.0
2022-01-09,11750.0,10472.333333333334,9383.0
2022-01-10,11750.0,10500.0,9383.0
2022-01-11,11833.0,10750.0,9383.0
2022-01-12,11833.0,10750.0,9450.0
2022-01-13,11833.0,10750.0,9450.0
2022-01-14,11917.0,10750.0,9450.0
2022-01-15,11917.0,10750.0,9450.0
2022-01-16,11917.0,10750.0,9450.0
2022-01-17,11917.0,10750.0,9450.0
2022-01-18,11917.0,10750.0,9450.0
2022-01-19,11917.0,10750.0,9450.0
2022-01-20,11917.0,10750.0,9450.0
2022-01-21,11917.0,10750.0,9450.0
2022-01-22,11917.0,10750.0,9450.0
2022-01-23,11917.0,10750.0,9450.0
2022-01-24,11917.0,10750.0,9450.0
2022-01-25,11917.0,10750.0,9450.0
2022-01-26,11917.0,10750.0,9450.0
2022-01-27,11917.0,10750.0,9450.0
2022-01-28,11917.0,10750.0,9450.0
2022-01-29,11917.0,10750.0,9452.666666666666
2022-01-30,11917.0,10750.0,9455.333333333334
2022-01-31,11917.0,10750.0,9458.0
2022-02-01,11917.0,10750.0,9458.0
2022-02-02,11917.0,10750.0,9458.0
2022-02-03,11917.0,10750.0,9458.0
2022-02-04,11917.0,10750.0,9458.0
2022-02-05,11917.0,10750.0,9458.0
2022-02-06,11917.0,10750.0,9458.0
2022-02-07,11917.0,10750.0,9458.0
2022-02-08,11917.0,10667.0,9450.0
2022-02-09,11917.0,10667.0,9450.0
2022-02-10,11917.0,10667.0,9450.0
2022-02-11,11917.0,10667.0,9450.0
2022-02-12,11917.0,10694.666666666666,9452.666666666666
2022-02-13,11917.0,10722.333333333334,9455.333333333334
2022-02-14,11917.0,10750.0,9458.0
2022-02-15,11917.0,10667.0,9450.0
2022-02-16,11917.0,10667.0,9450.0
2022-02-17,11917.0,10667.0,9450.0
2022-02-18,11917.0,10667.0,9450.0
2022-02-19,11917.0,10694.666666666666,9450.0
2022-02-20,11917.0,10722.333333333334,9450.0
2022-02-21,11917.0,10750.0,9450.0
2022-02-22,11833.0,10667.0,9450.0
2022-02-23,11833.0,10667.0,9450.0
2022-02-24,11833.0,10667.0,9450.0
2022-02-25,11833.0,10667.0,9450.0
2022-02-26,11833.0,10667.0,9452.666666666666
2022-02-27,11833.0,10667.0,9455.333333333334
2022-02-28,11833.0,10667.0,9458.0
2022-03-01,11833.0,10667.0,9458.0
2022-03-02,11833.0,10667.0,9458.0
2022-03-03,11833.0,10667.0,9458.0
2022-03-04,11833.0,10667.0,9458.0
2022-03-05,11833.0,10667.0,9458.0
2022-03-06,11833.0,10667.0,9458.0
2022-03-07,11833.0,10667.0,9458.0
2022-03-08,11833.0,10667.0,9458.0
2022-03-09,11833.0,10667.0,9458.0
2022-03-10,11833.0,10667.0,9458.0
2022-03-11,11833.0,10667.0,9458.0
2022-03-12,11833.0,10667.0,9458.0
2022-03-13,11833.0,10667.0,9458.0
2022-03-14,11833.0,10667.0,9458.0
2022-03-15,11833.0,10667.0,9458.0
2022-03-16,11833.0,10667.0,9458.0
2022-03-17,11833.0,10667.0,9458.0
2022-03-18,11833.0,10667.0,9458.0
2022-03-19,11833.0,10667.0,9458.0
2022-03-20,11833.0,10667.0,9458.0
2022-03-21,11833.0,10667.0,9458.0
2022-03-22,11833.0,10667.0,9458.0
2022-03-23,11833.0,10667.0,9458.0
2022-03-24,11833.0,10667.0,9458.0
2022-03-25,11833.0,10667.0,9458.0
2022-03-26,11833.0,10667.0,9458.0
2022-03-27,11833.0,10667.0,9458.0
2022-03-28,11833.0,10667.0,9458.0
2022-03-29,11833.0,10667.0,9458.0
2022-03-30,11833.0,10667.0,9458.0
2022-03-31,11833.0,10667.0,9358.0
2022-04-01,11833.0,10667.0,9358.0
2022-04-02,11833.0,10667.0,9361.0
2022-04-03,11833.0,10667.0,9364.0
2022-04-04,11833.0,10667.0,9367.0
2022-04-05,11833.0,10667.0,9367.0
2022-04-06,11833.0,10667.0,9367.0
2022-04-07,11833.0,10667.0,9367.0
2022-04-08,11833.0,10667.0,9367.0
2022-04-09,11833.0,10667.0,9367.0
2022-04-10,11833.0,10667.0,9367.0
2022-04-11,11833.0,10667.0,9367.0
2022-04-12,11917.0,10750.0,9533.0
2022-04-13,11917.0,10750.0,9533.0
2022-04-14,11917.0,10750.0,9533.0
2022-04-15,11833.0,10750.0,9617.0
2022-04-16,11833.0,10722.333333333334,9533.666666666666
2022-04-17,11833.0,10694.666666666666,9450.333333333334
2022-04-18,11833.0,10667.0,9367.0
2022-04-19,11833.0,10667.0,9367.0
2022-04-20,11833.0,10667.0,9367.0
2022-04-21,11833.0,10667.0,9367.0
2022-04-22,11833.0,10667.0,9367.0
2022-04-23,11833.0,10667.0,9367.0
2022-04-24,11833.0,10667.0,9367.0
2022-04-25,11833.0,10667.0,9367.0
2022-04-26,11833.0,10667.0,9358.0
2022-04-27,11917.0,10667.0,9358.0
2022-04-28,11917.0,10667.0,9358.0
2022-04-29,11917.0,10667.0,9358.0
2022-04-30,11889.0,10667.0,9361.0
2022-05-01,11861.0,10667.0,9364.0
2022-05-02,11833.0,10667.0,9367.0
2022-05-03,11833.0,10667.0,9358.0
2022-05-04,11917.0,10667.0,9358.0
2022-05-05,11917.0,10667.0,9358.0
2022-05-06,11917.0,10667.0,9358.0
2022-05-07,11889.0,10667.0,9361.0
2022-05-08,11861.0,10667.0,9364.0
2022-05-09,11833.0,10667.0,9367.0
2022-05-10,11833.0,10667.0,9367.0
2022-05-11,11917.0,10667.0,9358.0
2022-05-12,11917.0,10667.0,9358.0
2022-05-13,11917.0,10667.0,9358.0
2022-05-14,11889.0,10667.0,9361.0
2022-05-15,11861.0,10667.0,9364.0
2022-05-16,11833.0,10667.0,9367.0
2022-05-17,11833.0,10667.0,9367.0
2022-05-18,11917.0,10667.0,9358.0
2022-05-19,11917.0,10667.0,9358.0
2022-05-20,11917.0,10667.0,9358.0
2022-05-21,11889.0,10694.666666666666,9358.0
2022-05-22,11861.0,10722.333333333334,9358.0
2022-05-23,11833.0,10750.0,9358.0
2022-05-24,11833.0,10750.0,9358.0
2022-05-25,11833.0,10750.0,9358.0
2022-05-26,11833.0,10750.0,9358.0
